# m,p,t,C_l,obj
1.055555555555555587e-02,5.888888888888889062e-01,2.333333333333333648e-01,1.489099979400634766e+00,2.610188126564025879e-01
1.055555555555555587e-02,5.888888888888889062e-01,2.666666666666667185e-01,1.525500059127807617e+00,2.251502573490142822e-01
1.055555555555555587e-02,5.888888888888889062e-01,3.000000000000000444e-01,1.563300013542175293e+00,1.907068938016891479e-01
1.055555555555555587e-02,5.888888888888889062e-01,3.333333333333333703e-01,1.600600004196166992e+00,1.595203578472137451e-01
1.055555555555555587e-02,5.888888888888889062e-01,3.666666666666666963e-01,1.638000011444091797e+00,1.310440003871917725e-01
1.055555555555555587e-02,5.888888888888889062e-01,4.000000000000000222e-01,1.675600051879882812e+00,1.052353605628013611e-01
1.055555555555555587e-02,6.666666666666667407e-01,1.000000000000000056e-01,1.362400054931640625e+00,4.065337479114532471e-01
1.055555555555555587e-02,6.666666666666667407e-01,1.333333333333333592e-01,1.397799968719482422e+00,3.626448512077331543e-01
1.055555555555555587e-02,6.666666666666667407e-01,1.666666666666666852e-01,1.434599995613098145e+00,3.196771740913391113e-01
1.055555555555555587e-02,6.666666666666667407e-01,2.000000000000000111e-01,1.471799969673156738e+00,2.789952456951141357e-01
1.055555555555555587e-02,6.666666666666667407e-01,2.333333333333333648e-01,1.508499979972839355e+00,2.415722459554672241e-01
1.055555555555555587e-02,6.666666666666667407e-01,2.666666666666667185e-01,1.545600056648254395e+00,2.064793556928634644e-01
1.055555555555555587e-02,6.666666666666667407e-01,3.000000000000000444e-01,1.582800030708312988e+00,1.740558445453643799e-01
1.055555555555555587e-02,6.666666666666667407e-01,3.333333333333333703e-01,1.619899988174438477e+00,1.444760113954544067e-01
1.055555555555555587e-02,6.666666666666667407e-01,3.666666666666666963e-01,1.657699942588806152e+00,1.171692907810211182e-01
1.055555555555555587e-02,6.666666666666667407e-01,4.000000000000000222e-01,1.695399999618530273e+00,9.278115630149841309e-02
1.055555555555555587e-02,7.444444444444444642e-01,1.000000000000000056e-01,1.388700008392333984e+00,3.736876845359802246e-01
1.055555555555555587e-02,7.444444444444444642e-01,1.333333333333333592e-01,1.425600051879882812e+00,3.299353718757629395e-01
1.055555555555555587e-02,7.444444444444444642e-01,1.666666666666666852e-01,1.462499976158142090e+00,2.889062464237213135e-01
1.055555555555555587e-02,7.444444444444444642e-01,2.000000000000000111e-01,1.500000000000000000e+00,2.500000000000000000e-01
1.055555555555555587e-02,7.444444444444444642e-01,2.333333333333333648e-01,1.536800026893615723e+00,2.145542353391647339e-01
1.055555555555555587e-02,7.444444444444444642e-01,2.666666666666667185e-01,1.574000000953674316e+00,1.814759969711303711e-01
1.055555555555555587e-02,7.444444444444444642e-01,3.000000000000000444e-01,1.611099958419799805e+00,1.512432098388671875e-01
1.055555555555555587e-02,7.444444444444444642e-01,3.333333333333333703e-01,1.648800015449523926e+00,1.233414411544799805e-01
1.055555555555555587e-02,7.444444444444444642e-01,3.666666666666666963e-01,1.686499953269958496e+00,9.828224778175354004e-02
1.055555555555555587e-02,7.444444444444444642e-01,4.000000000000000222e-01,1.723799943923950195e+00,7.628644257783889771e-02
1.055555555555555587e-02,8.222222222222221877e-01,1.000000000000000056e-01,1.432000041007995605e+00,3.226239979267120361e-01
1.055555555555555587e-02,8.222222222222221877e-01,1.333333333333333592e-01,1.469499945640563965e+00,2.814302444458007812e-01
1.055555555555555587e-02,8.222222222222221877e-01,1.666666666666666852e-01,1.507500052452087402e+00,2.425562441349029541e-01
1.055555555555555587e-02,8.222222222222221877e-01,2.000000000000000111e-01,1.544600009918212891e+00,2.073891609907150269e-01
1.055555555555555587e-02,8.222222222222221877e-01,2.333333333333333648e-01,1.581900000572204590e+00,1.748076081275939941e-01
1.055555555555555587e-02,8.222222222222221877e-01,2.666666666666667185e-01,1.619500041007995605e+00,1.447802484035491943e-01
1.055555555555555587e-02,8.222222222222221877e-01,3.000000000000000444e-01,1.656900048255920410e+00,1.177176088094711304e-01
1.055555555555555587e-02,8.222222222222221877e-01,3.333333333333333703e-01,1.694499969482421875e+00,9.333024919033050537e-02
1.055555555555555587e-02,8.222222222222221877e-01,3.666666666666666963e-01,1.731899976730346680e+00,7.187761366367340088e-02
1.055555555555555587e-02,8.222222222222221877e-01,4.000000000000000222e-01,1.769700050354003906e+00,5.303809046745300293e-02
1.055555555555555587e-02,9.000000000000000222e-01,1.000000000000000056e-01,1.520599961280822754e+00,2.298243641853332520e-01
1.055555555555555587e-02,9.000000000000000222e-01,1.333333333333333592e-01,1.558099985122680664e+00,1.952756047248840332e-01
1.055555555555555587e-02,9.000000000000000222e-01,1.666666666666666852e-01,1.595800042152404785e+00,1.633776426315307617e-01
1.055555555555555587e-02,9.000000000000000222e-01,2.000000000000000111e-01,1.633599996566772461e+00,1.342489570379257202e-01
1.055555555555555587e-02,9.000000000000000222e-01,2.333333333333333648e-01,1.671100020408630371e+00,1.081752106547355652e-01
1.055555555555555587e-02,9.000000000000000222e-01,2.666666666666667185e-01,1.708600044250488281e+00,8.491396158933639526e-02
1.055555555555555587e-02,9.000000000000000222e-01,3.000000000000000444e-01,1.745800018310546875e+00,6.461764127016067505e-02
1.055555555555555587e-02,9.000000000000000222e-01,3.333333333333333703e-01,1.783400058746337891e+00,4.691556096076965332e-02
1.055555555555555587e-02,9.000000000000000222e-01,3.666666666666666963e-01,1.820799946784973145e+00,3.211263939738273621e-02
1.055555555555555587e-02,9.000000000000000222e-01,4.000000000000000222e-01,1.858199954032897949e+00,2.010723948478698730e-02
2.111111111111111174e-02,2.000000000000000111e-01,1.000000000000000056e-01,1.415500044822692871e+00,3.416402637958526611e-01
2.111111111111111174e-02,2.000000000000000111e-01,1.333333333333333592e-01,1.454900026321411133e+00,2.971340119838714600e-01
2.111111111111111174e-02,2.000000000000000111e-01,1.666666666666666852e-01,1.495900034904479980e+00,2.541168034076690674e-01
2.111111111111111174e-02,2.000000000000000111e-01,2.000000000000000111e-01,1.536900043487548828e+00,2.144616097211837769e-01
2.111111111111111174e-02,2.000000000000000111e-01,2.333333333333333648e-01,1.578400015830993652e+00,1.777465641498565674e-01
2.111111111111111174e-02,2.000000000000000111e-01,2.666666666666667185e-01,1.619799971580505371e+00,1.445520371198654175e-01
2.111111111111111174e-02,2.000000000000000111e-01,3.000000000000000444e-01,1.661999940872192383e+00,1.142439991235733032e-01
2.111111111111111174e-02,2.000000000000000111e-01,3.333333333333333703e-01,1.704699993133544922e+00,8.720208704471588135e-02
2.111111111111111174e-02,2.000000000000000111e-01,3.666666666666666963e-01,1.747200012207031250e+00,6.390783935785293579e-02
2.111111111111111174e-02,2.000000000000000111e-01,4.000000000000000222e-01,1.790400028228759766e+00,4.393215849995613098e-02
2.111111111111111174e-02,2.777777777777777901e-01,1.000000000000000056e-01,1.424499988555908203e+00,3.312002420425415039e-01
2.111111111111111174e-02,2.777777777777777901e-01,1.333333333333333592e-01,1.465199947357177734e+00,2.860110402107238770e-01
2.111111111111111174e-02,2.777777777777777901e-01,1.666666666666666852e-01,1.506000041961669922e+00,2.440360039472579956e-01
2.111111111111111174e-02,2.777777777777777901e-01,2.000000000000000111e-01,1.547500014305114746e+00,2.047562450170516968e-01
2.111111111111111174e-02,2.777777777777777901e-01,2.333333333333333648e-01,1.588600039482116699e+00,1.692499667406082153e-01
2.111111111111111174e-02,2.777777777777777901e-01,2.666666666666667185e-01,1.630699992179870605e+00,1.363824903964996338e-01
2.111111111111111174e-02,2.777777777777777901e-01,3.000000000000000444e-01,1.672799944877624512e+00,1.070598363876342773e-01
2.111111111111111174e-02,2.777777777777777901e-01,3.333333333333333703e-01,1.715100049972534180e+00,8.116801083087921143e-02
2.111111111111111174e-02,2.777777777777777901e-01,3.666666666666666963e-01,1.758399963378906250e+00,5.837056040763854980e-02
2.111111111111111174e-02,2.777777777777777901e-01,4.000000000000000222e-01,1.801699995994567871e+00,3.932289034128189087e-02
2.111111111111111174e-02,3.555555555555555691e-01,1.000000000000000056e-01,1.438599944114685059e+00,3.151699602603912354e-01
2.111111111111111174e-02,3.555555555555555691e-01,1.333333333333333592e-01,1.478500008583068848e+00,2.719622552394866943e-01
2.111111111111111174e-02,3.555555555555555691e-01,1.666666666666666852e-01,1.519500017166137695e+00,2.308802455663681030e-01
2.111111111111111174e-02,3.555555555555555691e-01,2.000000000000000111e-01,1.560799956321716309e+00,1.928966343402862549e-01
2.111111111111111174e-02,3.555555555555555691e-01,2.333333333333333648e-01,1.601999998092651367e+00,1.584039926528930664e-01
2.111111111111111174e-02,3.555555555555555691e-01,2.666666666666667185e-01,1.644099950790405273e+00,1.266648173332214355e-01
2.111111111111111174e-02,3.555555555555555691e-01,3.000000000000000444e-01,1.686699986457824707e+00,9.815689176321029663e-02
2.111111111111111174e-02,3.555555555555555691e-01,3.333333333333333703e-01,1.728999972343444824e+00,7.344099879264831543e-02
2.111111111111111174e-02,3.555555555555555691e-01,3.666666666666666963e-01,1.772099971771240234e+00,5.193841084837913513e-02
